Tipo_Archivo,Num_Documentos,Num_Patrones,Tiempo_Segundos
DNA,10,100,641.205
DNA,20,100,1443.8
DNA,30,100,2235.03
DNA,40,100,3197.51
DNA,10,200,639.946
DNA,20,200,1387.14
DNA,30,200,2261.21
DNA,40,200,3231.78
DNA,10,400,603.225
DNA,20,400,1348.3
