Tipo_Archivo,Num_Documentos,Num_Patrones,Tiempo_Segundos
DNA,10,100,37.5129
DNA,20,100,75.8211
DNA,30,100,111.712
DNA,40,100,151.267
DNA,10,200,80.3886
DNA,20,200,160.564
DNA,30,200,240.87
DNA,40,200,322.116
DNA,10,400,152.195
DNA,20,400,298.991
DNA,30,400,455.305
DNA,40,400,615.524
DNA,10,800,305.88
DNA,20,800,605.598
DNA,30,800,1006.96
DNA,40,800,1350.01
