Tipo_Archivo,Num_Documentos,Num_Patrones,Tiempo_Segundos
DNA,10,100,3.88236
DNA,20,100,6.58008
DNA,30,100,9.31986
DNA,40,100,11.7378
DNA,10,200,15.5878
DNA,20,200,29.899
DNA,30,200,44.0677
DNA,40,200,58.4261
DNA,10,400,20.1342
DNA,20,400,39.9796
DNA,30,400,60.4453
DNA,40,400,80.7102
DNA,10,800,41.4461
DNA,20,800,82.4182
DNA,30,800,122.785
DNA,40,800,165.137
